Municipalities,decade_0_District_heating,decade_1_District_heating,decade_2_District_heating
Aa en Hunze,0,0,0
Aalsmeer,0,0.3,0.6
Aalten,0,0,0
Achtkarspelen,0,0,0
Alblasserdam,0,0.265370848,0.530741697
Albrandswaard,0,0.238320816,0.476641632
Alkmaar,0,0.234992453,0.469984906
Almelo,0,0.247402012,0.494804024
Almere,0.569,0.620197203,0.671394406
Alphen aan den Rijn,0,0.21897482,0.437949639
Alphen-Chaam,0,0,0
Altena,0,0,0
Ameland,0,0,0
Amersfoort,0.051,0.322344785,0.593689569
Amstelveen,0.071,0.346518688,0.622037377
Amsterdam,0.108,0.372,0.636
Apeldoorn,0,0,0
Appingedam,0,0,0
Arnhem,0.074,0.319174366,0.564348731
Assen,0,0.231404745,0.46280949
Asten,0,0,0
Baarle-Nassau,0,0,0
Baarn,0,0.236364107,0.472728214
Barendrecht,0.042,0.308275724,0.574551449
Barneveld,0,0,0
Beek,0,0.230794448,0.461588897
Beekdaelen,0,0,0
Beemster,0,0,0
Beesel,0.032,0.032,0.032
Berg en Dal,0,0,0
Bergeijk,0,0,0
Bergen (L.),0,0,0
Bergen (NH.),0,0,0
Bergen op Zoom,0,0.232094005,0.46418801
Berkelland,0,0,0
Bernheze,0,0,0
Best,0,0.225962252,0.451924504
Beuningen,0,0,0
Beverwijk,0,0.288545471,0.577090942
Bladel,0,0,0
Blaricum,0.076,0.308290685,0.54058137
Bloemendaal,0,0.223325617,0.446651233
Bodegraven-Reeuwijk,0,0,0
Boekel,0,0,0
Borger-Odoorn,0,0,0
Borne,0,0.222974062,0.445948124
Borsele,0,0,0
Boxmeer,0,0,0
Boxtel,0,0,0
Breda,0.214,0.410455092,0.606910185
Brielle,0,0.3,0.6
Bronckhorst,0,0,0
Brummen,0,0,0
Brunssum,0,0.268756611,0.537513221
Bunnik,0,0,0
Bunschoten,0,0.207493798,0.414987596
Buren,0,0,0
Capelle aan den IJssel,0.288,0.492,0.696
Castricum,0,0.216320677,0.432641355
Coevorden,0,0,0
Cranendonck,0,0,0
Cuijk,0,0,0
Culemborg,0.078,0.276002453,0.474004907
Dalfsen,0,0,0
Dantumadiel,0,0,0
De Bilt,0,0.220694618,0.441389236
De Fryske Marren,0,0,0
De Ronde Venen,0,0,0
De Wolden,0,0,0
Delft,0.056,0.337333333,0.618666667
Delfzijl,0,0,0
Den Helder,0,0.263312654,0.526625307
Deurne,0,0,0
Deventer,0.058,0.256979353,0.455958707
Diemen,0.14,0.364432088,0.588864176
Dinkelland,0,0,0
Doesburg,0.044,0.261144952,0.478289904
Doetinchem,0,0.221439553,0.442879107
Dongen,0,0.22546529,0.45093058
Dordrecht,0,0.260764841,0.521529681
Drechterland,0,0,0
Drimmelen,0,0.209787397,0.419574795
Dronten,0,0,0
Druten,0,0,0
Duiven,0.602,0.616825679,0.631651358
Echt-Susteren,0,0,0
Edam-Volendam,0,0.213821977,0.427643953
Ede,0,0,0
Eemnes,0,0,0
Eersel,0,0,0
Eijsden-Margraten,0,0,0
Eindhoven,0.042,0.328,0.614
Elburg,0,0,0
Emmen,0,0,0
Enkhuizen,0,0.288618474,0.577236948
Enschede,0.137,0.336323886,0.535647771
Epe,0,0,0
Ermelo,0,0,0
Etten-Leur,0,0.254333795,0.508667589
Geertruidenberg,0.072,0.270551094,0.469102188
Geldrop-Mierlo,0,0.250866632,0.501733264
Gemert-Bakel,0,0,0
Gennep,0,0,0
Gilze en Rijen,0,0,0
Goeree-Overflakkee,0,0,0
Goes,0,0,0
Goirle,0.037,0.037,0.037
Gooise Meren,0,0.268114283,0.536228566
Gorinchem,0,0.274149926,0.548299851
Gouda,0,0.3,0.6
Grave,0,0,0
Groningen,0,0.3,0.6
Gulpen-Wittem,0,0,0
Haaksbergen,0,0,0
Haaren,0,0,0
Haarlem,0,0.3,0.6
Haarlemmermeer,0,0.249678397,0.499356794
Halderberge,0,0,0
Hardenberg,0,0,0
Harderwijk,0,0.250439483,0.500878965
Hardinxveld-Giessendam,0,0.223455909,0.446911818
Harlingen,0,0.209035406,0.418070812
Hattem,0,0,0
Heemskerk,0,0.254357341,0.508714682
Heemstede,0,0.3,0.6
Heerde,0,0,0
Heerenveen,0,0,0
Heerhugowaard,0.096,0.353556898,0.611113795
Heerlen,0.036,0.31255033,0.58910066
Heeze-Leende,0,0,0
Heiloo,0,0.253869532,0.507739064
Hellendoorn,0,0,0
Hellevoetsluis,0,0.215271901,0.430543801
Helmond,0.157,0.377169256,0.597338512
Hendrik-Ido-Ambacht,0,0.277377863,0.554755726
Hengelo,0,0.259178996,0.518357992
Het Hogeland,0,0,0
Heumen,0,0,0
Heusden,0,0.236648188,0.473296376
Hillegom,0,0.271613946,0.543227892
Hilvarenbeek,0,0,0
Hilversum,0,0.292574278,0.585148556
Hoeksche Waard,0,0,0
Hof van Twente,0,0,0
Hollands Kroon,0,0,0
Hoogeveen,0,0,0
Hoorn,0,0.3,0.6
Horst aan de Maas,0,0.224172554,0.448345107
Houten,0.203,0.362254463,0.521508927
Huizen,0,0.296457184,0.592914368
Hulst,0,0,0
IJsselstein,0,0.246525274,0.493050549
Kaag en Braassem,0,0.221634395,0.443268791
Kampen,0,0.210470627,0.420941254
Kapelle,0,0,0
Katwijk,0,0.3,0.6
Kerkrade,0,0.294825168,0.589650337
Koggenland,0,0,0
Krimpen aan den IJssel,0,0.3,0.6
Krimpenerwaard,0,0,0
Laarbeek,0,0,0
Landerd,0,0,0
Landgraaf,0,0.261879526,0.523759053
Landsmeer,0,0,0
Langedijk,0.103,0.308854252,0.514708504
Lansingerland,0.051,0.334,0.617
Laren,0,0.261451256,0.522902512
Leeuwarden,0.03,0.225193017,0.420386033
Leiden,0.172,0.414666667,0.657333333
Leiderdorp,0.057,0.323026033,0.589052067
Leidschendam-Voorburg,0,0.291278045,0.582556091
Lelystad,0.156,0.156,0.156
Leudal,0,0,0
Leusden,0,0,0
Lingewaard,0,0.216103993,0.432207986
Lisse,0,0.258024175,0.516048349
Lochem,0,0,0
Loon op Zand,0,0,0
Lopik,0,0,0
Loppersum,0,0,0
Losser,0,0,0
Maasdriel,0,0,0
Maasgouw,0,0.210649964,0.421299928
Maassluis,0,0.3,0.6
Maastricht,0.031,0.318314497,0.605628994
Medemblik,0,0.248735161,0.497470322
Meerssen,0,0.221770708,0.443541417
Meierijstad,0,0,0
Meppel,0,0.213282014,0.426564029
Middelburg,0,0.233025089,0.466050178
Midden-Delfland,0.031,0.320666667,0.610333333
Midden-Drenthe,0,0,0
Midden-Groningen,0,0,0
Mill en Sint Hubert,0,0,0
Moerdijk,0,0,0
Molenlanden,0,0,0
Montferland,0,0,0
Montfoort,0,0,0
Mook en Middelaar,0,0,0
Neder-Betuwe,0,0,0
Nederweert,0,0,0
Nieuwegein,0.528,0.642055309,0.756110618
Nieuwkoop,0,0.219778905,0.43955781
Nijkerk,0,0.208203436,0.416406873
Nijmegen,0.049,0.332666667,0.616333333
Nissewaard,0,0.225593109,0.451186218
Noardeast-Fryslân,0,0,0
Noord-Beveland,0,0,0
Noordenveld,0,0,0
Noordoostpolder,0,0,0
Noordwijk,0,0.266601282,0.533202564
"Nuenen, Gerwen en Nederwetten",0,0.217320035,0.434640069
Nunspeet,0,0,0
Oegstgeest,0.09,0.36,0.63
Oirschot,0,0,0
Oisterwijk,0,0,0
Oldambt,0,0,0
Oldebroek,0,0,0
Oldenzaal,0,0.267067295,0.53413459
Olst-Wijhe,0,0,0
Ommen,0,0,0
Oost Gelre,0,0,0
Oosterhout,0.035,0.245991109,0.456982218
Ooststellingwerf,0,0,0
Oostzaan,0,0.215513269,0.431026538
Opmeer,0,0,0
Opsterland,0,0,0
Oss,0,0,0
Oude IJsselstreek,0,0,0
Ouder-Amstel,0,0.210523838,0.421047676
Oudewater,0,0,0
Overbetuwe,0,0,0
Papendrecht,0.078,0.352,0.626
Peel en Maas,0,0.246098433,0.492196865
Pekela,0,0,0
Pijnacker-Nootdorp,0.112,0.374666667,0.637333333
Purmerend,0.686,0.751362506,0.816725011
Putten,0,0,0
Raalte,0,0,0
Reimerswaal,0,0,0
Renkum,0,0.228021714,0.456043429
Renswoude,0,0,0
Reusel-De Mierden,0,0,0
Rheden,0,0.211087933,0.422175865
Rhenen,0,0,0
Ridderkerk,0,0.286909677,0.573819354
Rijssen-Holten,0,0,0
Rijswijk,0,0.3,0.6
Roerdalen,0,0,0
Roermond,0,0.240297305,0.48059461
Roosendaal,0,0.229578554,0.459157107
Rotterdam,0.173,0.415333333,0.657666667
Rozendaal,0,0,0
Rucphen,0,0,0
Schagen,0,0,0
Scherpenzeel,0,0.212069659,0.424139319
Schiedam,0,0.3,0.6
Schiermonnikoog,0,0,0
Schouwen-Duiveland,0,0,0
s-Gravenhage,0.088,0.358666667,0.629333333
s-Hertogenbosch,0,0.257766226,0.515532452
Simpelveld,0,0.220180031,0.440360062
Sint Anthonis,0,0,0
Sint-Michielsgestel,0,0,0
Sittard-Geleen,0,0.232648571,0.465297143
Sliedrecht,0,0.269603932,0.539207864
Sluis,0,0,0
Smallingerland,0,0,0
Soest,0,0.243851396,0.487702792
Someren,0,0.234251599,0.468503198
Son en Breugel,0,0.23392942,0.467858839
Stadskanaal,0,0,0
Staphorst,0,0,0
Stede Broec,0,0.266286509,0.532573018
Steenbergen,0,0,0
Steenwijkerland,0,0,0
Stein,0,0.254064996,0.508129993
Stichtse Vecht,0,0.2127606,0.4255212
Súdwest-Fryslân,0,0,0
Terneuzen,0,0,0
Terschelling,0,0,0
Texel,0,0,0
Teylingen,0,0.25163274,0.503265479
Tholen,0,0,0
Tiel,0,0.254286648,0.508573295
Tilburg,0.27,0.447120074,0.624240147
Tubbergen,0,0,0
Twenterand,0,0,0
Tynaarlo,0,0,0
Tytsjerksteradiel,0,0,0
Uden,0,0.222528606,0.445057212
Uitgeest,0,0,0
Uithoorn,0,0.3,0.6
Urk,0,0.25774625,0.515492499
Utrecht,0.285,0.49,0.695
Utrechtse Heuvelrug,0,0,0
Vaals,0,0.207121307,0.414242614
Valkenburg aan de Geul,0,0.215765592,0.431531183
Valkenswaard,0,0.206632491,0.413264981
Veendam,0,0,0
Veenendaal,0,0.3,0.6
Veere,0,0,0
Veldhoven,0,0.260565526,0.521131052
Velsen,0,0.243081077,0.486162153
Venlo,0,0.261473996,0.522947992
Venray,0,0,0
Vijfheerenlanden,0,0,0
Vlaardingen,0,0.3,0.6
Vlieland,0,0,0
Vlissingen,0,0.244824416,0.489648832
Voerendaal,0,0,0
Voorschoten,0,0.283990496,0.567980992
Voorst,0,0,0
Vught,0,0.234844587,0.469689175
Waadhoeke,0,0,0
Waalre,0,0.226947785,0.453895571
Waalwijk,0,0.227341612,0.454683224
Waddinxveen,0,0.3,0.6
Wageningen,0.038,0.289564116,0.541128232
Wassenaar,0,0.223263183,0.446526367
Waterland,0,0,0
Weert,0,0,0
Weesp,0,0.22003633,0.44007266
West Betuwe,0,0,0
West Maas en Waal,0,0,0
Westerkwartier,0,0,0
Westerveld,0,0,0
Westervoort,0.425,0.551035372,0.677070743
Westerwolde,0,0,0
Westland,0,0.3,0.6
Weststellingwerf,0,0,0
Westvoorne,0,0.261388383,0.522776766
Wierden,0,0,0
Wijchen,0,0,0
Wijdemeren,0,0.208781333,0.417562666
Wijk bij Duurstede,0,0,0
Winterswijk,0,0,0
Woensdrecht,0,0,0
Woerden,0,0.233047572,0.466095144
Wormerland,0,0,0
Woudenberg,0,0,0
Zaanstad,0,0.275918497,0.551836993
Zaltbommel,0,0,0
Zandvoort,0.061,0.257804681,0.454609361
Zeewolde,0.15,0.15,0.15
Zeist,0,0.266525193,0.533050387
Zevenaar,0.031,0.031,0.031
Zoetermeer,0.062,0.341333333,0.620666667
Zoeterwoude,0,0,0
Zuidplas,0,0.3,0.6
Zundert,0,0,0
Zutphen,0,0.249845816,0.499691632
Zwartewaterland,0,0,0
Zwijndrecht,0,0.277647106,0.555294213
Zwolle,0,0.242255614,0.484511228
